Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Fᵧ (N)
10.744999885559082,0.07929292321205139,-8.376811981201172,0.1429838091135025,-1.73347806930542
10.75,0.08225421607494354,-8.31308650970459,0.14791402220726013,-1.719459056854248
10.755000114440918,0.08086632192134857,-8.245328903198242,0.1571282595396042,-1.7081660032272339
10.760000228881836,0.08268534392118454,-8.190540313720703,0.16825349628925323,-1.7024918794631958
10.765000343322754,0.08651047945022583,-8.144142150878906,0.17783240973949432,-1.6991595029830933
10.770000457763672,0.09449304640293121,-8.100403785705566,0.18019017577171326,-1.6931538581848145
10.774999618530273,0.09106255322694778,-8.06477165222168,0.18907129764556885,-1.6861300468444824
10.779999732971191,0.0883411392569542,-8.036340713500977,0.19262851774692535,-1.6758822202682495
10.78499984741211,0.09339649230241776,-8.017810821533203,0.1910134106874466,-1.6674009561538696
10.789999961853027,0.09677568078041077,-7.999952793121338,0.17880520224571228,-1.662639856338501
10.795000076293945,0.09824376553297043,-7.984063625335693,0.17751038074493408,-1.6626137495040894
10.800000190734863,0.09749756753444672,-7.972285270690918,0.17996951937675476,-1.6612603664398193
10.805000305175781,0.09901882708072662,-7.944730758666992,0.17603689432144165,-1.6547309160232544
10.8100004196167,0.10592571645975113,-7.923130512237549,0.1698935478925705,-1.6491119861602783
10.8149995803833,0.10284990817308426,-7.913201332092285,0.16580262780189514,-1.647631287574768
10.819999694824219,0.09587957710027695,-7.893992900848389,0.17202924191951752,-1.6457834243774414
10.824999809265137,0.10219468176364899,-7.889078617095947,0.1747317761182785,-1.6457585096359253
10.829999923706055,0.10060948878526688,-7.888458251953125,0.15264639258384705,-1.6448465585708618
10.835000038146973,0.10289100557565689,-7.891196250915527,0.14134053885936737,-1.6429736614227295
10.84000015258789,0.11537029594182968,-7.903050899505615,0.14754179120063782,-1.6424572467803955
10.845000267028809,0.11478617787361145,-7.917247295379639,0.1473078578710556,-1.6434177160263062
10.850000381469727,0.11236203461885452,-7.923037052154541,0.13241572678089142,-1.643885850906372
10.854999542236328,0.10532711446285248,-7.931041717529297,0.1285211443901062,-1.6443305015563965
10.859999656677246,0.10237666964530945,-7.938950538635254,0.13798394799232483,-1.6462035179138184
10.864999771118164,0.10792353749275208,-7.955161094665527,0.14150121808052063,-1.6503714323043823
10.869999885559082,0.11556225270032883,-7.972789764404297,0.13605748116970062,-1.6555449962615967
10.875,0.10778820514678955,-7.9981560707092285,0.12533876299858093,-1.6565271615982056
10.880000114440918,0.10388845950365067,-8.01630687713623,0.12598693370819092,-1.6565271615982056
10.885000228881836,0.11072714626789093,-8.040376663208008,0.13193383812904358,-1.660673975944519
10.890000343322754,0.11209648102521896,-8.07841682434082,0.1303921490907669,-1.6685895919799805
10.895000457763672,0.11375319212675095,-8.125203132629395,0.12443263083696365,-1.6765716075897217
10.899999618530273,0.11403771489858627,-8.177472114562988,0.12536415457725525,-1.6799148321151733
10.904999732971191,0.10693656653165817,-8.222443580627441,0.12777221202850342,-1.6845327615737915
10.90999984741211,0.09798247367143631,-8.322487831115723,0.1228794977068901,-1.6980260610580444
10.914999961853027,0.09587003290653229,-8.435763359069824,0.12373601645231247,-1.7107107639312744
10.920000076293945,0.09508605301380157,-8.475339889526367,0.1270907074213028,-1.7150506973266602
10.925000190734863,0.09567546844482422,-8.479371070861816,0.1271439790725708,-1.7159664630889893
10.930000305175781,0.10262337327003479,-8.510763168334961,0.14003223180770874,-1.7215237617492676
10.9350004196167,0.10618989914655685,-8.55735969543457,0.14505527913570404,-1.729483962059021
10.9399995803833,0.10813535749912262,-8.606931686401367,0.14286287128925323,-1.7378723621368408
10.944999694824219,0.102403424680233,-8.660013198852539,0.1414472758769989,-1.752347707748413
10.949999809265137,0.10224941372871399,-8.721452713012695,0.13752049207687378,-1.7659659385681152
10.954999923706055,0.10977848619222641,-8.793813705444336,0.14445270597934723,-1.7748823165893555
10.960000038146973,0.11136209219694138,-8.86342716217041,0.15424636006355286,-1.7851643562316895
10.96500015258789,0.1098347082734108,-8.923745155334473,0.1713874489068985,-1.7945672273635864
10.970000267028809,0.10624434053897858,-8.995750427246094,0.1765783131122589,-1.8043625354766846
10.975000381469727,0.10607800632715225,-9.068695068359375,0.18088394403457642,-1.8160502910614014
10.979999542236328,0.10960757732391357,-9.139878273010254,0.1889830380678177,-1.8277747631072998
10.984999656677246,0.11384879797697067,-9.21153450012207,0.19879639148712158,-1.8394806385040283
10.989999771118164,0.11519753932952881,-9.288888931274414,0.20258232951164246,-1.8502681255340576
10.994999885559082,0.1122332215309143,-9.364337921142578,0.2097131460905075,-1.8610022068023682
11,0.10971177369356155,-9.4531831741333,0.20624065399169922,-1.8731942176818848
11.005000114440918,0.11307317763566971,-9.537199974060059,0.19701243937015533,-1.8862874507904053
11.010000228881836,0.12067051231861115,-9.619290351867676,0.19277848303318024,-1.8979936838150024
11.015000343322754,0.12431822717189789,-9.70444107055664,0.19522814452648163,-1.912976861000061
11.020000457763672,0.12111741304397583,-9.78205394744873,0.19254599511623383,-1.9256031513214111
11.024999618530273,0.12674367427825928,-9.845558166503906,0.20178523659706116,-1.9378107786178589
11.029999732971191,0.11903169751167297,-9.909414291381836,0.20476987957954407,-1.9499849081039429
11.03499984741211,0.108273945748806,-9.97321605682373,0.1896245777606964,-1.960302472114563
11.039999961853027,0.10615332424640656,-10.041211128234863,0.18401813507080078,-1.9738330841064453
11.045000076293945,0.10550520569086075,-10.121651649475098,0.19475018978118896,-1.986944317817688
11.050000190734863,0.10754701495170593,-10.20492172241211,0.18458294868469238,-2.0024118423461914
11.055000305175781,0.11409863084554672,-10.28030776977539,0.17748084664344788,-2.013665199279785
11.0600004196167,0.1216425895690918,-10.36120891571045,0.1863706111907959,-2.0230603218078613
11.0649995803833,0.12730543315410614,-10.43984317779541,0.17698326706886292,-2.0342233180999756
11.069999694824219,0.12999701499938965,-10.55759048461914,0.16984285414218903,-2.057107925415039
11.074999809265137,0.13453277945518494,-10.68143081665039,0.16263818740844727,-2.082392692565918
11.079999923706055,0.13591064512729645,-10.761499404907227,0.16095849871635437,-2.096555233001709
11.085000038146973,0.1430007666349411,-10.816216468811035,0.1629650741815567,-2.1064021587371826
11.09000015258789,0.14304512739181519,-10.832531929016113,0.16132964193820953,-2.108785390853882
11.095000267028809,0.14418283104896545,-10.838071823120117,0.1604156494140625,-2.110203981399536
11.100000381469727,0.14202401041984558,-10.863150596618652,0.16681909561157227,-2.1162099838256836
11.104999542236328,0.13830721378326416,-10.923123359680176,0.15686456859111786,-2.1265244483947754
11.109999656677246,0.13946716487407684,-10.985699653625488,0.1417492926120758,-2.138204336166382
11.114999771118164,0.1355646252632141,-11.040797233581543,0.13423307240009308,-2.151315450668335
11.119999885559082,0.1423744112253189,-11.092320442199707,0.13846701383590698,-2.161186695098877
11.125,0.14320512115955353,-11.142499923706055,0.15006238222122192,-2.1677544116973877
11.130000114440918,0.13898509740829468,-11.1913480758667,0.15310713648796082,-2.174753427505493
11.135000228881836,0.13767209649085999,-11.242359161376953,0.16032683849334717,-2.185978889465332
11.140000343322754,0.13969048857688904,-11.300132751464844,0.16241268813610077,-2.198153018951416
11.145000457763672,0.14588895440101624,-11.350722312927246,0.16663239896297455,-2.207998037338257
11.149999618530273,0.15539224445819855,-11.39914321899414,0.182277649641037,-2.2150447368621826
11.154999732971191,0.1485612690448761,-11.43727970123291,0.20157115161418915,-2.2201955318450928
11.15999984741211,0.13184860348701477,-11.460209846496582,0.21963830292224884,-2.227208137512207
11.164999961853027,0.13085471093654633,-11.487527847290039,0.2170821726322174,-2.2342424392700195
11.170000076293945,0.13465066254138947,-11.52580451965332,0.19679294526576996,-2.2361371517181396
11.175000190734863,0.1386401355266571,-11.56362533569336,0.19541741907596588,-2.2412667274475098
11.180000305175781,0.13734599947929382,-11.588991165161133,0.21589456498622894,-2.247811794281006
11.1850004196167,0.1317811757326126,-11.61915397644043,0.2278914600610733,-2.2529726028442383
11.1899995803833,0.12692862749099731,-11.637828826904297,0.2383502870798111,-2.2567381858825684
11.194999694824219,0.12219356000423431,-11.639647483825684,0.22951281070709229,-2.2600059509277344
11.199999809265137,0.12272246927022934,-11.654879570007324,0.22255171835422516,-2.263751983642578
11.204999923706055,0.12930022180080414,-11.695061683654785,0.2280767261981964,-2.2670388221740723
11.210000038146973,0.13147060573101044,-11.717493057250977,0.22812744975090027,-2.2679755687713623
11.21500015258789,0.12539364397525787,-11.706704139709473,0.21631184220314026,-2.2693891525268555
11.220000267028809,0.1249404102563858,-11.703300476074219,0.22597132623195648,-2.268461227416992
11.225000381469727,0.12365653365850449,-11.714216232299805,0.23566225171089172,-2.2675161361694336
11.229999542236328,0.12165267020463943,-11.711597442626953,0.2339400351047516,-2.2661118507385254
11.234999656677246,0.13152143359184265,-11.692357063293457,0.2200349122285843,-2.2675161361694336
11.239999771118164,0.1379433423280716,-11.685001373291016,0.2086748629808426,-2.2670481204986572
11.244999885559082,0.14438726007938385,-11.657719612121582,0.20204052329063416,-2.2647221088409424
11.25,0.1431978940963745,-11.635306358337402,0.19896262884140015,-2.262373447418213
11.255000114440918,0.1371423602104187,-11.610597610473633,0.19008608162403107,-2.263756513595581
11.260000228881836,0.1324533075094223,-11.576004981994629,0.1772114783525467,-2.264707088470459
11.265000343322754,0.1332133561372757,-11.53462028503418,0.1778540164232254,-2.260988473892212
11.270000457763672,0.13307644426822662,-11.502148628234863,0.19529347121715546,-2.2525601387023926
11.274999618530273,0.13255582749843597,-11.484579086303711,0.19286681711673737,-2.2459986209869385
11.279999732971191,0.1323934644460678,-11.449666023254395,0.182839497923851,-2.242708444595337
11.28499984741211,0.1397237628698349,-11.396005630493164,0.17328177392482758,-2.240372896194458
11.289999961853027,0.13612300157546997,-11.34660816192627,0.15741842985153198,-2.2366271018981934
11.295000076293945,0.133008673787117,-11.300400733947754,0.15277893841266632,-2.2310194969177246
11.300000190734863,0.13291293382644653,-11.237200736999512,0.1563069075345993,-2.221191883087158
11.305000305175781,0.13168729841709137,-11.181052207946777,0.14479809999465942,-2.210895538330078
11.3100004196167,0.13057036697864532,-11.132465362548828,0.1419118493795395,-2.2033932209014893
11.3149995803833,0.13561604917049408,-11.083053588867188,0.14861096441745758,-2.1935653686523438
11.319999694824219,0.14147154986858368,-11.03346061706543,0.1622418612241745,-2.185600519180298
11.324999809265137,0.1468871682882309,-10.984339714050293,0.15930695831775665,-2.18044114112854
11.329999923706055,0.13425275683403015,-10.928152084350586,0.15311717987060547,-2.1706290245056152
11.335000038146973,0.1264309585094452,-10.868088722229004,0.15110616385936737,-2.158919095993042
11.34000015258789,0.12603512406349182,-10.8153076171875,0.16026803851127625,-2.148145914077759
11.345000267028809,0.12526652216911316,-10.76092529296875,0.17055948078632355,-2.1378512382507324
11.350000381469727,0.12798306345939636,-10.702203750610352,0.17899027466773987,-2.124272346496582
11.354999542236328,0.13292936980724335,-10.637029647827148,0.1862543225288391,-2.1120948791503906
11.359999656677246,0.1435983031988144,-10.558670997619629,0.1953989565372467,-2.1031925678253174
11.364999771118164,0.14259769022464752,-10.479963302612305,0.19683818519115448,-2.0938332080841064
