Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
6.900000095367432,0.05432264134287834,-9.97956371307373,-4.779960632324219,-2.1176950931549072,0.021222222596406937,-0.388888955116272,-1.303030252456665
6.909999847412109,0.07723519951105118,-9.705559730529785,-4.744935035705566,-2.071812391281128,0.01711111143231392,-0.41111114621162415,-0.9696968793869019
6.920000076293945,0.07519539445638657,-9.451045989990234,-4.77384614944458,-2.022184133529663,0.013000000268220901,-0.41111114621162415,-0.6464646458625793
6.929999828338623,0.09987927973270416,-9.221440315246582,-4.773947238922119,-1.9744285345077515,0.008888889104127884,-0.41111114621162415,-0.4141414165496826
6.940000057220459,0.06949973851442337,-8.957155227661133,-4.869537830352783,-1.9276095628738403,0.004666666500270367,-0.4222222566604614,-0.1919192224740982
6.949999809265137,0.1381334513425827,-8.630191802978516,-4.8155083656311035,-1.873299241065979,0.00044444421655498445,-0.4222222566604614,0.050505056977272034
6.960000038146973,0.09889484941959381,-8.367277145385742,-4.844738006591797,-1.820862054824829,-0.003666666569188237,-0.41111117601394653,0.2929292917251587
6.96999979019165,0.11693849414587021,-8.074888229370117,-4.801114082336426,-1.7684245109558105,-0.007777777966111898,-0.41111114621162415,0.5050504803657532
6.980000019073486,0.15045833587646484,-7.781732082366943,-4.805410861968994,-1.7150508165359497,-0.011888887733221054,-0.41111114621162415,0.7171717286109924
6.989999771118164,0.1380338966846466,-7.547983646392822,-4.6491546630859375,-1.664486050605774,-0.015888888388872147,-0.4000000059604645,0.9696968793869019
7,0.18185490369796753,-7.252817153930664,-4.819208145141602,-1.6167306900024414,-0.019777776673436165,-0.3888889253139496,1.1818181276321411
7.010000228881836,0.218065544962883,-6.990818500518799,-4.773707389831543,-1.5699115991592407,-0.023555554449558258,-0.3777777850627899,1.4343434572219849
7.019999980926514,0.1810600906610489,-6.793622016906738,-4.708476543426514,-1.5287107229232788,-0.0271111112087965,-0.35555556416511536,1.7575757503509521
