Time (s),Fᵧ (N),rᵧ (m)
2.1500000953674316,-1.755075454711914,0.07086693495512009
2.1600000858306885,-1.814090371131897,0.07557513564825058
2.1700000762939453,-1.8709088563919067,0.08028988540172577
2.180000066757202,-1.9258925914764404,0.0852055773139
2.190000057220459,-1.988326907157898,0.09021752327680588
2.200000047683716,-2.0453052520751953,0.09512429684400558
2.2100000381469727,-2.1027770042419434,0.10004142671823502
2.2200000286102295,-2.1638314723968506,0.10515951365232468
2.2300000190734863,-2.223452091217041,0.1102653369307518
2.240000009536743,-2.2815308570861816,0.11527729034423828
2.25,-2.3407139778137207,0.12039681524038315
2.259999990463257,-2.3993923664093018,0.12560923397541046
2.2699999809265137,-2.4568729400634766,0.13071314990520477
2.2799999713897705,-2.5181024074554443,0.13561610877513885
2.2899999618530273,-2.579416513442993,0.1404275745153427
2.299999952316284,-2.638775110244751,0.14523904025554657
2.309999942779541,-2.7004282474517822,0.15005052089691162
2.319999933242798,-2.7589242458343506,0.15486198663711548
2.3299999237060547,-2.8136043548583984,0.15967345237731934
2.3399999141693115,-2.8715083599090576,0.16437307000160217
2.3499999046325684,-2.9266021251678467,0.1689840704202652
2.359999895095825,-2.983335494995117,0.1734822392463684
2.369999885559082,-3.0418195724487305,0.1778927594423294
2.380000114440918,-3.0950379371643066,0.1823032796382904
2.390000104904175,-3.148968458175659,0.1867137849330902
2.4000000953674316,-3.2065088748931885,0.19100956618785858
2.4100000858306885,-3.2580313682556152,0.19521960616111755
2.4200000762939453,-3.3116066455841064,0.1993139535188675
2.430000066757202,-3.3657567501068115,0.20332351326942444
2.440000057220459,-3.4157955646514893,0.2073330581188202
2.450000047683716,-3.4639358520507812,0.21134263277053833
2.4600000381469727,-3.5145204067230225,0.21535220742225647
2.4700000286102295,-3.5639848709106445,0.21924367547035217
2.4800000190734863,-3.612510919570923,0.2230527549982071
2.490000009536743,-3.659162759780884,0.22674278914928436
2.5,-3.7018814086914062,0.23035140335559845
2.509999990463257,-3.7444095611572266,0.2338400036096573
2.5199999809265137,-3.7880609035491943,0.23724812269210815
2.5299999713897705,-3.830592393875122,0.24053528904914856
2.5399999618530273,-3.8755569458007812,0.2437429577112198
2.549999952316284,-3.919013261795044,0.24695061147212982
2.559999942779541,-3.958357334136963,0.25015825033187866
2.569999933242798,-3.996572494506836,0.25324302911758423
2.5799999237060547,-4.032527923583984,0.25625020265579224
2.5899999141693115,-4.062118053436279,0.25925737619400024
2.5999999046325684,-4.090962886810303,0.2620159387588501
2.609999895095825,-4.116061210632324,0.2644973695278168
2.619999885559082,-4.137956619262695,0.2669031023979187
2.630000114440918,-4.158020973205566,0.26905736327171326
2.640000104904175,-4.177644729614258,0.27080973982810974
2.6500000953674316,-4.190957069396973,0.27228686213493347
2.6600000858306885,-4.205547332763672,0.2734358310699463
2.6700000762939453,-4.214317798614502,0.2743105888366699
2.680000066757202,-4.218801975250244,0.27498435974121094
2.690000057220459,-4.221009731292725,0.2754572033882141
2.700000047683716,-4.216456413269043,0.27572908997535706
